"Sitio","Aph_M","Aph_S","Cin_M","Cin_S","Cis_M","Cis_S","Ela_M","Ela_S","Phr_M","Phr_S","Scy_M","Scy_S","Spo_M","Spo_S","Tro_M","Tro_S","Tur_M","Tur_S","Zon_M","Zon_S"
"ACC",1.8,0.553774924194538,0,0,0,0,2.4,0.4,0.4,0.305505046330389,0,0,0,0,0.5,0.268741924943285,0.2,0.133333333333333,0.4,0.305505046330389
"AIF",0.444444444444444,0.293972367896066,0,0,0,0,1.22222222222222,0.364302140239,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"ARF",1,0.52704627669473,0,0,0,0,1.44444444444444,0.337931251683234,0.333333333333333,0.235702260395516,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.111111111111111,0.111111111111111
"HCO",0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.2,0.2,0,0,0.1,0.1,0.4,0.221108319357027
"PCF",1.22222222222222,0.338736170453593,0.0555555555555556,0.0555555555555556,0,0,0.888888888888889,0.227071277987454,0.0555555555555556,0.0555555555555556,0.333333333333333,0.161690416690889,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0
"PTM",0.3,0.3,0,0,0.1,0.1,0.4,0.221108319357027,0,0,0,0,0,0,0.1,0.1,0,0,1.1,0.62271805640898
"PTT",0.5,0.341565025531987,0,0,0,0,0.8,0.290593262902712,0,0,0,0,0,0,0,0,0,0,0.5,0.341565025531987
"PUL",0,0,0,0,0,0,0.333333333333333,0.14213381090374,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0
