Order,Longitude1,Latitude1,Easting1,Northing1
125,-69.60126819,-54.79380155,461341,3927988
126,-69.6020723,-54.79453449,461290,3927906
127,-69.60265296,-54.7948821,NA,NA
128,-69.60307809,-54.79523048,461226,3927828
129,-69.60664066,-54.79631811,460998,3927705
130,-69.60954517,-54.79707643,460812,3927619
131,-69.61113406,-54.7972302,460710,3927601
132,-69.61275284,-54.79730292,460606,3927592
133,-69.61440001,-54.79719574,460500,3927603
134,-69.6158488,-54.79734117,460407,3927586
135,-69.61738764,-54.79727044,460308,3927593
136,-69.61909975,-54.7973426,460198,3927584
137,-69.62059591,-54.79753267,460102,3927562
138,-69.62233943,-54.7976226,459990,3927551
139,NA,NA,473498,3917732
140,-69.41278689,-54.88616389,473520,3917798
141,-69.41209496,-54.88557312,473564,3917864
142,-69.41168042,-54.88466687,473590,3917965
143,-69.4106116,-54.88379878,473658,3918062
144,-69.40987106,-54.88301944,473705,3918149
145,-69.40827447,-54.8823598,473807,3918223
146,-69.4068665,-54.88185228,473897,3918280
147,-69.40570786,-54.88133493,473971,3918338
148,NA,NA,474055,3918411
149,-69.40314103,-54.88027406,474135,3918457
150,-69.14550959,-54.93963691,490678,3911916
151,-69.144419,-54.94021335,490748,3911852
152,-69.142878,-54.94143734,490847,3911716
153,-69.14096229,-54.94267073,NA,NA
154,-69.14048166,-54.94361487,491001,3911474
155,-69.13909525,-54.94447018,491090,3911379
156,-69.13744118,-54.94467875,491196,3911356
157,-69.13641157,-54.94489559,491262,3911332
158,-69.13600286,-54.9440603,491288,3911425
159,-69.13436389,-54.94411604,491393,3911419
